"name","name_on_ukrainian_wikipedia","administrative_division","popu_lation_2022_esti_mates_1","popu_lation_2001_census_7","popu_lationchange","full_name","lat","long"
"Berdiansk","Бердянськ","Zaporizhzhia",106311,121692,-12.64,"Berdiansk, Ukraine",46.773142,36.778575
"Enerhodar","Енергодар","Zaporizhzhia",52237,56242,-7.12,"Enerhodar, Ukraine",47.49478,34.647594
"Melitopol","Мелітополь","Zaporizhzhia",148851,160657,-7.35,"Melitopol, Ukraine",46.8509792,35.3604015
"Tokmak","Токмак","Zaporizhzhia",29573,36275,-18.48,"Tokmak, Ukraine",47.2534259,35.7083663
"Zaporizhzhia","Запоріжжя","Zaporizhzhia",710052,817882,-13.18,"Zaporizhzhia, Ukraine",47.8464561,35.1492677
"Berdychiv","Бердичів","Zhytomyr",73046,87575,-16.59,"Berdychiv, Ukraine",49.8922968,28.5906628
"Korosten","Коростень","Zhytomyr",61496,66669,-7.76,"Korosten, Ukraine",50.959561,28.614438
"Korostyshiv","Коростишів","Zhytomyr",24129,26068,-7.44,"Korostyshiv, Ukraine",50.319422,29.05705
"Malyn","Малин","Zhytomyr",25172,28113,-10.46,"Malyn, Ukraine",50.7627614,29.2595234
"Zhytomyr","Житомир","Zhytomyr",261624,284236,-7.96,"Zhytomyr, Ukraine",50.2542791,28.6590098
"Zviahel","Звягель","Zhytomyr",55086,56259,-2.08,"Zviahel, Ukraine",50.59412,27.6165
